BioWare Version 5.2.1.3 Export
Device:	Blue3 9260AA6	Blue3 9260AA6	Blue3 9260AA6
Samples (#):	5000	5000	5000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1572	1572	1572
Contact period end (sample #):	2172	2172	2172
Contact period start time (s):	1.572000	1.572000	1.572000
Contact period end time (s):	2.172000	2.172000	2.172000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	4.164500	4.164500	4.164500
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Aug 02, 2018  17:11:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	0.027710	-0.095014	0.190583
0.001000	0.008414	0.001737	-0.213279
0.002000	0.047175	0.020998	0.067984
0.003000	0.066979	-0.172196	0.190274
0.004000	0.086275	0.098145	-0.212345
0.005000	0.164305	-0.094877	0.189541
0.006000	0.144671	-0.152832	-0.091159
0.007000	0.125205	-0.056252	-0.091902
0.008000	0.086275	-0.056218	-0.011084
0.009000	0.086360	-0.036957	-0.172189
0.010000	0.066979	-0.133468	-0.212696
0.011000	0.047260	-0.017627	-0.051631
0.012000	0.007990	-0.075582	-0.011486
0.013000	-0.050236	-0.172024	-0.212579
0.014000	0.066555	-0.114172	0.109358
0.015000	0.047429	-0.017627	-0.253159
0.016000	0.047514	0.059589	-0.334085
0.017000	0.047514	-0.056389	-0.171946
0.018000	0.086275	0.001737	0.149014
0.019000	0.047429	-0.056321	0.069077
0.020000	0.066640	-0.114309	-0.171362
0.021000	0.027540	-0.075582	0.149535
0.022000	0.086360	-0.114241	-0.131783
0.023000	-0.167451	-0.094877	0.149493
0.024000	0.144671	0.001737	-0.011603
0.025000	0.066640	-0.017730	-0.293472
0.026000	0.047090	-0.017593	-0.010881
0.027000	0.086105	-0.075719	0.149250
0.028000	0.066979	-0.036923	-0.092605
0.029000	0.105655	-0.036923	0.149270
0.030000	0.047090	0.001600	0.028807
0.031000	0.125121	-0.075548	0.029293
0.032000	0.066555	-0.114275	-0.252468
0.033000	0.105740	0.020861	-0.092720
0.034000	0.047005	-0.075582	-0.212218
0.035000	0.086190	-0.036991	0.069067
0.036000	-0.127927	-0.075650	-0.132386
0.037000	-0.011136	-0.094911	0.028934
